page	form_1937	form_1986	form1986_id	schmidt_form	nothofer_form	homonym_id_1937	crossref_1937	variant_1937	remark_1937	variant_1986	crossref_1986	remark_1986	remark_overall
46	eˀā	ˀɛˈaː	1	ˀɛˈaː									
46	eˀā udaha͜uhu	ˀɛadaˈah, ɛad̥aˈˀah; Nː ɛadaãh	1	ˀɛadaˈah , ɛad̥aˈˀah	ɛadaãh							? durchgestrichen	
46	eˀā ukaˀa	ea͜uˈkaˀ, ea͜oˈkaˀ; Nː ɛa͜ukaˀ	1	ea͜uˈkaˀ , ea͜oˈkaˀ	ɛa͜ukaˀ								
46	eˀā ukaˀa	ea͜ukaˈˀaˀ; Nː ɛa͜ukaˀaˀ	2	ea͜ukaˈˀaˀ	ɛa͜ukaˀaˀ								
46	eˀā ukĩˀĩ	eã͜ũˈkĩˀ, ea͜oˈkĩˀ; Nː ɛã͜ũkĩˀ	1	eã͜ũˈkĩˀ , ea͜oˈkĩˀ	ɛã͜ũkĩˀ								
46	eˀā ukĩˀĩ	eã͜ũkĩˈˀãˀ; Nː eã͜ũkĩˀãˀ	2	eã͜ũkĩˈˀãˀ	eã͜ũkĩˀãˀ							eǃ	
46	eˀā upō	yaˀˈpɔ, eaˀˈpɔ, yaˀˈpɔː; Nː eapɔ	1	yaˀˈpɔ , eaˀˈpɔ , yaˀˈpɔː	eapɔ								
46	eˀā ūdu	ˀɛaˈur (?), yaˈur, eaˈur, ɛaˈur	1	ˀɛaˈur (?) , yaˈur , eaˈur , ɛaˈur									
46	ki·kokóiya eˀā	kɔkɔˈˀyaː, kɔkɔˈ?ɛaː, kɔkɔ?ɛˈaː	1	kɔkɔˈˀyaː , kɔkɔˈ?ɛaː , kɔkɔ?ɛˈaː									
46	ki·ˀãˀãkõ	kĩːˈˀʸãk	1	kĩːˈˀʸãk									
46	ki·ˀãˀãkõ	(ˀiˀyãkha͜i)	2	(ˀiˀyãkha͜i)									
46	aba͜i kaha͜iˀi	ˀabaykaˈha͜eˀ, ˀabayxaˈhae?	1	ˀabaykaˈha͜eˀ , ˀabayxaˈhae?					9			BVǃ 7	
46	e[ˀ]abeha	ˀaˈbɛh	1	ˀaˈbɛh									
46	abəha	ˀaˈbəh	1	ˀaˈbəh									
47	k·adi	kar	1	kar									
47	k·adi	(ˀarha͜i)	2	(ˀarha͜i)									
47	eae	(eˈaː, ˀɛa, eaᵉ (?)	1	(eˈaː , ˀɛa , eaᵉ (?)									
47	eae	eaɛˀ, ˀɛaˀ)	2	eaɛˀ , ˀɛaˀ)									
47	euba uae	ː yubwa	1	ː yubwa									
47	epũˀũ uae	puˀea	1	puˀea									
47	emĩnũ uae	mindɛ̃ã, ˈmĩn·dẽãː)	1	mindɛ̃ã , ˈmĩn·dẽãː)									
47	eaea	yai, ˈyaːi, iˈaːi	1	yai , ˈyaːi , iˈaːi									
47	k·aha͜e	uː ka·ha͜i, ˀuː ka·ha͜i, ˀuːhɔˈbah, ˀukah	1	uː ka·ha͜i , ˀuː ka·ha͜i , ˀuːhɔˈbah , ˀukah									
47	eãh[ã͜]ĩ	kaˈçiˀ	1	kaˈçiˀ									
47	k·aˀia͜e	ˀaˀiˈaː; Nː kaˀia, kaˀya	1	ˀaˀiˈaː	kaˀia , kaˀya								
47	k·aˀia͜e	ˀaˀiˈaha͜i; Nː aˀia (!), aˀiahai, aˀyahai	2	ˀaˀiˈaha͜i	aˀia (!) , aˀiahai , aˀyahai								
47	ã͜ĩˀĩõ	ˀaˈˀiː	1	ˀaˈˀiː									
47	ˀã͜ĩñã	kaˈˀã͜ĩ, pãˈˀã͜ĩ, (pãˀã͜ĩhai, aˀã͜ĩhai)	1	kaˈˀã͜ĩ , pãˈˀã͜ĩ , (pãˀã͜ĩhai , aˀã͜ĩhai)								N dito	
47	k·aˀioˀo͜i	a͜eˈɔ, a͜eɔˈˀɔˀ, ˀayɔˈˀɔ , aɛyɔˈˀɔ, ayɛˈˀɔ, ˀayɔˈˀɔ; Nː aˀyɔˀɔ	1	a͜eˈɔ , a͜eɔˈˀɔˀ , ˀayɔˈˀɔ  , aɛyɔˈˀɔ , ayɛˈˀɔ , ˀayɔˈˀɔ	aˀyɔˀɔ								
47	k·aˀioˀo͜i	aeɔˀɔ, aˀiɔˀɔ, ˀaɛyɔˀɔ, kayɛˀɔ	2	aeɔˀɔ , aˀiɔˀɔ , ˀaɛyɔˀɔ , kayɛˀɔ									
47	k·aˀioˀo͜i	ˀayɔˈˀɔha͜i; Nː ayɛˀoha͜i, aɛyɔˀɔˀha͜i	3	ˀayɔˈˀɔha͜i	ayɛˀoha͜i , aɛyɔˀɔˀha͜i								
47	e·aiya	iˈyai	1	iˈyai									
47	e·ˀa͜iyo	ˀeˈae, ˀɛˈai; Nː ˀɛa͜ɛ, eae	1	ˀeˈae , ˀɛˈai	ˀɛa͜ɛ , eae								
47	e·ˀa͜iyo	eaewɨh	2	eaewɨh									
47	eiˀo uˀa͜iyo	yiˀ ˀeˈae	1	yiˀ ˀeˈae									
47	eãkã	(eãk, ˀẽãk)	1	(eãk , ˀẽãk)									
47	ˀakiakina	ˀakiˀaˈkiːn	1	ˀakiˀaˈkiːn					6				
47	6+3	(ˀa)kiˀakĩnhɛˀaˈkər	1	(ˀa)kiˀakĩnhɛˀaˈkər								9	
47	ˀakoru	ˀaˈkər, ˀaˈkœr, ˈakər	1	ˀaˈkər , ˀaˈkœr , ˈakər									
47	e[ˀ]amē̃	ˀaˈmɛ̃	1	ˀaˈmɛ̃								N: e O!	
47	kipah·amĩ́ãˀã	kipahmiˈaˀ	1	kipahmiˈaˀ								N dito + pahmiaʔha͜i	
47	kaha·ˀamī̃	(kahˀami)	1	(kahˀami)									
47	eˀãmĩ	(ãm, kahˀɛ̃ãm, ãmhai)	1	(ãm , kahˀɛ̃ãm , ãmhai)									
47	eˀãmĩˀãmĩ	eãmĩˈãm; Nː ˀɛãmiãm	1	eãmĩˈãm	ˀɛãmiãm								
47	eˀãmĩˀãmĩ	eãmĩãˈmĩˀ; Nː ˀɛãmiãmiˀ	2	eãmĩãˈmĩˀ	ˀɛãmiãmiˀ								
47	ki·ˀanaka	kaˀˈnak	1	kaˀˈnak									
47	ˀamũhõ	ˀaˈmuh, ˀaˈmũh, paˀaˈmũh	1	ˀaˈmuh , ˀaˈmũh , paˀaˈmũh									
47	k·anĩˀã	kaˈnih, kaˈniç (ˀ); Nː kaˈniˀ	1	kaˈnih , kaˈniç (ˀ)	kaˈniˀ								
47	eˀanĩmãõ	ˀaniˈmaː, ˀãnĩˈmãː; Nː animaː	1	ˀaniˈmaː , ˀãnĩˈmãː	animaː								
47	anõ	ˀãn	1	ˀãn									
47	anõ	ãnœˀ, ˀaˈnœˀ, ˀaˈnaˀ, ˀaˈnœ̃ˀ; Nː ãnəˀ, ˀãnəˀ	2	ãnœˀ , ˀaˈnœˀ , ˀaˈnaˀ , ˀaˈnœ̃ˀ	ãnəˀ , ˀãnəˀ								
48	ka·ˀao	kaˈˀaː, ˀaˈˀaː	1	kaˈˀaː , ˀaˈˀaː									
48	ka·ˀao	(aˀaha͜i)	2	(aˀaha͜i)									
48	kaˀaˈˀã͜õã	kãˈˀã͜õ; yəˀ Nː kaˀã͜õ, kaã͜õ, kaˀã͜ũ; kaˀə̃ˀ	1	kãˈˀã͜õ ; yəˀ	kaˀã͜õ , kaã͜õ , kaˀã͜ũ ; kaˀə̃ˀ								
48	ˀá·opa	ˈaɔp̚	1	ˈaɔp̚								is that a superscript number 1?	
48	ˀaopa hĩ ˀaopa	ˈapaˀyɔp, ˈapayɔp; Nː apa[ˀ]yɔp	1	ˈapaˀyɔp , ˈapayɔp	apa[ˀ]yɔp								
48	ka·ˀãpã	ˀɛ̃ˈap; Nː ẽãp	1	ˀɛ̃ˈap	ẽãp								
48	e apaua	pa͜u	1	pa͜u									
48	eˀapo	ˀɛˈap, ɛˈap; Nː eap	1	ˀɛˈap , ɛˈap	eap								
48	eˀapo	(apɨˀ, apœˀ)	2	(apɨˀ , apœˀ)									
48	ekada uˀapo	káraˀɛˈap, kraˀɛˈap; Nː karaˀyap	1	káraˀɛˈap , kraˀɛˈap	karaˀyap								
48	ekada uˀapo	(krapɨˀ)	2	(krapɨˀ)									
48	emĩnã uˀapo	(minˀeap)	1	(minˀeap)									
48	Puls	mĩˀˈyap	1	mĩˀˈyap									
48	eãpũ	(yãp)	1	(yãp)									
48	eapũˀũ	aˈpũ, ˀaˈpũˀ; Nː ãpũˀ	1	aˈpũ , ˀaˈpũˀ	ãpũˀ								
48	eapũˀũ	(ãˈpũˀwə, apũˈˀaˀ, apũˈˀũˀ)	2	(ãˈpũˀwə , apũˈˀaˀ , apũˈˀũˀ)									
48	eapũˀũ ubō	ˀaˈpũ bœ	1	ˀaˈpũ bœ									
48	eapũˀũ°sawah	ˀaˈpũˀ°taˈwah	1	ˀaˈpũˀ°taˈwah									is sawah or tawah part of the form?
48	eara	eˈyar	1	eˈyar									
48	eara	yaˈraˀ, ɛaˈraˀ	2	yaˈraˀ , ɛaˈraˀ									
48	eara ukixo	ruˈkih, ruˈkik, ruˈkiˀ	1	ruˈkih , ruˈkik , ruˈkiˀ									
48	eara °ukarawae	ˀɛrkraˈwaː	1	ˀɛrkraˈwaː									
48	ˀariba	aˈriːb̚	1	aˈriːb̚									
48	ˀarua	ˈaruː	1	ˈaruː								?	
48	kedua kali	kaˀaˈruː hiˈnuː	1	kaˀaˈruː hiˈnuː									
48	eaˀa͜u	yaˈˀaː, ɛaˈˀaː	1	yaˈˀaː , ɛaˈˀaː									
48	ekaˀa uaˀa͜u	kaˀɛˈˀa, kaˀeˈˀaː, kaˀeaˈˀaː; Nː kaˀeˀaˀaː	1	kaˀɛˈˀa , kaˀeˈˀaː , kaˀeaˈˀaː	kaˀeˀaˀaː								
48	eˀauaˀa	kaˈrah aˈwaˀ	1	kaˈrah aˈwaˀ				epiai					
48	auaha	ˀawah	1	ˀawah									
48	ebaˀadito	baˀˈdit̚	1	baˀˈdit̚									
48	ebaˀa͜ue	baˈˀa͜u	1	baˈˀa͜u									
48	baha͜eba	baˈha͜ib̚	1	baˈha͜ib̚									
48	kemaren dulu	baˈha͜ib̚ mɔ̃h kəˈhəd	1	baˈha͜ib̚ mɔ̃h kəˈhəd									
48	ebáha͜u	bah	1	bah									
48	ebáha͜u	baˈhaˀ	2	baˈhaˀ									
48	bai	bahbaˀt̊akɔˈraː	1	bahbaˀt̊akɔˈraː									
48	ebaka	m͜bak, bak	1	m͜bak , bak		1							
48	ebaka	m͜baˈkaˀ, baˈkaˀ	2	m͜baˈkaˀ , baˈkaˀ		1							
48	ka·baka	baˈbak; Nː abak	1	baˈbak	abak								
48	ka·baka	abakhai	2	abakhai									
49	eheda ubakaˀa͜u	hɛrbaˈkaˀ	1	hɛrbaˈkaˀ									
49	ekai ubaka	kaːbaˈkab	1	kaːbaˈkab									
49	goyang matanya	hœˈna baˀ	1	hœˈna baˀ									
49	goyang matanya	kipakahˈrɛ bahrikahˈba	2	kipakahˈrɛ bahrikahˈba									
49	kacamata	°kɔrmi·ˈbak	1	°kɔrmi·ˈbak									
49	ebē ubaka	bɛːˈbak - beːˈbak	1	bɛːˈbak - beːˈbak									
49	ebaka ukoko	baˈkɔk	1	baˈkɔk									
49	ebaka ukoko	bakɔˈkɔˀ	2	bakɔˈkɔˀ									
49	eakaruba	bakaˈrub	1	bakaˈrub									
49	ebaka ukahaˀo	bakaˈhaˀ, bakˈhaˀ	1	bakaˈhaˀ , bakˈhaˀ									
49	ebaka ubō	bakˈbœ, bakˈbəː	1	bakˈbœ , bakˈbəː									
49	ki·baka	kiˈbak	1	kiˈbak		2							
49	ebao	ebaː, baː	1	ebaː , baː									
49	ebē		1				vgl. ebō						
49	ebē uito	bɛːˈyid, bɛˈyit	1	bɛːˈyid , bɛˈyit									
49	air gulai	bɛkuˈra͜i, bœkuˈra͜i	1	bɛkuˈra͜i , bœkuˈra͜i									
49	air kencing	bɛˈyik	1	bɛˈyik									
49	air mata	bɛːˈbak, beːˈbak	1	bɛːˈbak , beːˈbak									
49	mata air	bakˈbəː	1	bakˈbəː					< ebō ?				
49	ebedoa	bɛˈrɔː	1	bɛˈrɔː									
49	ka·beho	kaˈbɛh; Nː kabəh, kabɛh	1	kaˈbɛh	kabəh , kabɛh								
49	ka·beho	abəh , ˀabɛxha͜i	2	abəh  , ˀabɛxha͜i									
49	ebeo	bɛː; Nː be	1	bɛː	be								
49	ebeo	bewɨh	2	bewɨh									
49	bəhaː kipa·bəha	kipahˈbəh	1	kipahˈbəh									
49	bəhaː kipa·bəha	paˈbəxa͜i; Nː pabəhhai	2	paˈbəxa͜i	pabəhhai								
49	ka·bəha	ka[ˀ]ˈbəh	1	ka[ˀ]ˈbəh									
49	epahabəhə́aha	pahˈbɨah, pahbɨˈah	1	pahˈbɨah , pahbɨˈah									
49	ebixu	bih, bix	1	bih , bix									
49	ebō	bœ, bəː	1	bœ , bəː									
49	air tawar	bœː kanaˀˈnaː	1	bœː kanaˀˈnaː									
49	air jernih	bœ məkaˈnik, bœ kaˈnik	1	bœ məkaˈnik , bœ kaˈnik									
49	air dalam	bœ kaˀˈnuˀ	1	bœ kaˀˈnuˀ									
49	hujan panas	bœ kaˀbaˈriː	1	bœ kaˀbaˈriː									
49	air mata	beːˈbak, bɛːˈbak	2	beːˈbak , bɛːˈbak					< ebe ?				
49	air gulai	bɛ°kuˈra͜i, bœ°kuˈra͜i	2	bɛ°kuˈra͜i , bœ°kuˈra͜i									
49	banjir	bœkaˀˈdoer; Nː bə kaˀdər	1	bœkaˀˈdoer	bə kaˀdər								
50	ular air	ˀaˈpũ bœ	1	ˀaˈpũ bœ									
50	yumbang air	pahkuˀˈbœː	1	pahkuˀˈbœː									
50	penimba air	yœˀœˈbœː	1	yœˀœˈbœː									
50	terjun ke air	tɔˈbaˀ hɛˈbœ	1	tɔˈbaˀ hɛˈbœ									
50	ebaka ubō	bakˈbəː, bakˈbœ	1	bakˈbəː , bakˈbœ									
50	tidak ada air	kiabkiˈbœː	1	kiabkiˈbœː									
50	ebobo	bɔb	1	bɔb									
50	ebohe	bɔh	1	bɔh									
50	(pohoi) ka·bohoi[y]aˀa	kabœˈhʸaˀ, kabœxiˈaˀ; Nː kabəhˈyaˀ	1	kabœˈhʸaˀ , kabœxiˈaˀ	kabəhˈyaˀ								
50	ki·buho	kiˈbuh	1	kiˈbuh									
50	ka·buobuo	kabuˈbuː	1	kabuˈbuː									
50	kipa·buo	pahˈbuˀ	1	pahˈbuˀ									
50	kipa·buo	(Nː pɛyabubuhai)	2		(pɛyabubuhai)								
